"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym"
"Spondylometaphyseal Dysplasia","SMDK","184252","19232556",59341,"TRPV4","605427","Cilia","18024594, 28122715","TRPV4;TRPV4;ENSG00000111199; SMAL; VRL2; BCYM3; CMT2C; SPSMA; TRP12; VROAC; HMSN2C; OTRPC4; SSQTL1"
"Spondylometaphyseal Dysplasia","SMDMDM","613320","24786642",51025,"PAM16","614336","Nucleoplasm,Microtubules,Mitochondria","25613900","PAM16;PAM16;ENSG00000217930; TIM16; MAGMAS; SMDMDM; TIMM16; CGI-136"
"Spondylometaphyseal Dysplasia","SMDP","619638","34782440",5593,"PRKG2","601591","Not reported",NA,"PRKG2;PRKG2;ENSG00000138669; AMD4; PKG2; SMDP; cGK2; cGKII; PRKGR2"
"Spondylometaphyseal Dysplasia","SMDS","250220","9556300, 24706940",2879,"GPX4","138322","Nucleoplasm,Mitochondria","25613900","GPX4;GPX4;ENSG00000167468; MCSP; SMDS; GPx-4; PHGPx; snGPx; GSHPx-4; snPHGPx"
"Spondylometaphyseal Dysplasia","SPENCDI","607944","26854080, 21217752",54,"ACP5","171640","Cytosol","25613900","ACP5;ACP5;ENSG00000102575; HPAP; TRAP; TRAcP; TRACP5a; TRACP5b; TrATPase"
"Spondylometaphyseal Dysplasia","SMDXL","313420",NA,NA,NA,NA,NA,NA,NA
"Bardet–Biedl Syndrome","BBS1","209900","9039982, 20177705",582,"BBS1","209901","Cilia","32759308","BBS1;BBS1;ENSG00000174483; BBS2L2"
"Bardet–Biedl Syndrome","BBS2","615981","19252258",583,"BBS2","606151","Cilia, Basal Body","18299575","BBS2;BBS2;ENSG00000125124; BBS; RP74"
"Bardet–Biedl Syndrome","BBS3","600151","15314642",84100,"ARL6","608845","Basal Body, Transition Zone","15314642","ARL6;ARL6;ENSG00000113966; BBS3; RP55"
"Bardet–Biedl Syndrome","BBS4","615982","12016587, 15654695",585,"BBS4","600374","Cilia, Basal Body","15107855, 17574030",NA
"Bardet–Biedl Syndrome","BBS5","615983","25982971",129880,"BBS5","603650","Cilia, Basal Body","15137946, 32759308",NA
"Bardet–Biedl Syndrome","BBS6","605231","10973238",8195,"MKKS","604896","Basal Body","19396898","MKKS;MKKS;ENSG00000125863; KMS; MKS; BBS6; HMCS"
"Bardet–Biedl Syndrome","BBS7","615984","12567324",55212,"BBS7","607590","Cilia, Basal Body","22302990","BBS7;BBS7;ENSG00000138686; BBS2L1"
"Bardet–Biedl Syndrome","BBS8","615985","14520415",123016,"TTC8","608132","Basal Body","14520415","TTC8;TTC8;ENSG00000165533; BBS8; RP51"
"Bardet–Biedl Syndrome","BBS9","615986","16380913, 33771153",27241,"BBS9","607968","Cilia","32759308","BBS9;BBS9;ENSG00000122507; B1; D1; C18; PTHB1"
"Bardet–Biedl Syndrome","BBS10","615987","16582908",79738,"BBS10","610148","Basal Body","19190184","BBS10;BBS10;ENSG00000179941; C12orf58"
"Bardet–Biedl Syndrome","BBS11","615988","16606853",22954,"TRIM32","602290","Intermediate filaments","25613900","TRIM32;TRIM32;ENSG00000119401; HT2A; BBS11; TATIP; LGMD2H; LGMDR8"
"Bardet–Biedl Syndrome","BBS12","615989","17160889, 19797195",166379,"BBS12","610683","Basal Body","19190184","BBS12;BBS12;ENSG00000181004; C4orf24"
"Bardet–Biedl Syndrome","BBS13","615990","18327255, 10.1371/journal.pone.0090599",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28"
"Bardet–Biedl Syndrome","BBS14","615991","18327255",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Bardet–Biedl Syndrome","BBS15","615992","20671153",51057,"WDPCP","613580","Transition Zone","24302887","WDPCP;WDPCP;ENSG00000143951; FRTZ; BBS15; FRITZ; CHDTHP; C2orf86; CPLANE5"
"Bardet–Biedl Syndrome","BBS16","615993","22190896, 22626039",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7"
"Bardet–Biedl Syndrome","BBS17","615994","22510444, 23692385",54585,"LZTFL1","606568","Cilia","27312011","LZTFL1;LZTFL1;ENSG00000163818; BBS17"
"Bardet–Biedl Syndrome","BBS18","615995","24026985",92482,"BBIP1","613605","Cilia","19081074, 24026985","BBIP1;BBIP1;ENSG00000214413; BBS18; BBIP10; bA348N5.3; NCRNA00081"
"Bardet–Biedl Syndrome","BBS19","615996","24488770",11020,"IFT27","615870","Basal Body","17276912","IFT27;IFT27;ENSG00000100360; RAYL; BBS19; RABL4; FAP156"
"Bardet–Biedl Syndrome","BBS20","619471","25168386",26160,"IFT172","607386","Cilia, Axoneme","15137945, 24140113","IFT172;IFT172;ENSG00000138002; SLB; wim; RP71; BBS20; osm-1; NPHP17; SRTD10"
"Bardet–Biedl Syndrome","BBS21","617406","27008867, 26854863",157657,"C8orf37","614477","Cilia","22177090","CFAP418;C8orf37;ENSG00000156172; RP64; BBS21; MOT25; CORD16; FAP418; C8orf37; smalltalk"
"Bardet–Biedl Syndrome","BBS22","617119","27486776",80173,"IFT74","608040","Cilia","15024030","IFT74;IFT74;ENSG00000096872; CMG1; BBS22; CCDC2; CMG-1; JBTS40; SPGF58"
"Bardet–Biedl Syndrome","BBS","No MIM Number","35112343",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Bardet–Biedl Syndrome","BBS","No MIM Number","32253632, 32055034",132320,"SCLT1","611399","Microtubules,Cytosol","25613900","SCLT1;SCLT1;ENSG00000151466; CAP1A; CAP-1A"
"Bazex-Dupré-Christol Syndrome","BZX","301845","33972689",139741,"ACTRT1","300487","Basal Body","33972689","ACTRT1;ACTRT1;ENSG00000123165; AIP1; ARIP1; ARPT1; HSD27"
"Biliary, Renal, Neurologic, and Skeletal Syndrome","BRENS","619534","34177428",79989,"TTC26","617453","Transition Zone","22718903","TTC26;TTC26;ENSG00000105948; BRENS; DYF13; IFT56; dyf-13"
"Caroli Disease","CD","600643","33685088",5314,"PKHD1","606702","Basal Body","14983006","PKHD1;PKHD1;ENSG00000170927; FPC; FCYT; PKD4; ARPKD; TIGM1"
"COACH Syndrome","COACH1","216360","19058225, 19574260",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"COACH Syndrome","COACH2","619111","19574260",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"COACH Syndrome","COACH3","619113","19574260",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134"
"COACH Syndrome","COACH","No MIM Number","33580824",5373,"PMM2","601785","Nucleoplasm,Cytosol","25613900","PMM2;PMM2;ENSG00000140650; PMI; CDG1; CDGS; PMI1; CDG1a; PMM 2"
"Complex Lethal Osteochondrodysplasia","OCLSBG","616897","26365339",202018,"TAPT1","612758","Basal Body","26365339","TAPT1;TAPT1;ENSG00000169762; CMVFR; OCLSBG"
"Cranioectodermal Dysplasia","CED1","218330","20493458",55764,"IFT122","606045","Cilia","15137945","IFT122;IFT122;ENSG00000163913; CED; SPG; CED1; FAP80; WDR10; WDR10p; WDR140"
"Cranioectodermal Dysplasia","CED2","613610","20817137",57539,"WDR35","613602","Transisiton Zone, Basal Body, Axoneme","15137945, 10.1016/j.mod.2009.06.702","WDR35;WDR35;ENSG00000118965; CED2; IFTA1; SRTD7; FAP118; IFT121"
"Cranioectodermal Dysplasia","CED3","614099","21378380",112752,"IFT43","614068","Basal Body","25243405","IFT43;IFT43;ENSG00000119650; CED3; RP81; SRTD18; C14orf179"
"Cranioectodermal Dysplasia","CED4","614378","22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Cranioectodermal Dysplasia",NA,"No MIM Number","26880018",51098,"IFT52","617094","Basal Body","11676918","IFT52;IFT52;ENSG00000101052; NGD2; NGD5; CGI-53; C20orf9"
"Cranioectodermal Dysplasia",NA,"No MIM Number","28288023",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1"
"Ellis-van Creveld Syndrome","EVC","225500","17024374, 23220543",2121,"EVC","604831","Cilia, Basal Body","21356043","EVC;EVC;ENSG00000072840; EVC1; EVCL; DWF-1"
"Ellis-van Creveld Syndrome","EVC","225500","12468274, 17024374, 23220543",132884,"EVC2","607261","Cilia, Basal Body","21356043","EVC2;EVC2;ENSG00000173040; LBN; WAD"
"Greig Cephalopolysyndactyly Syndrome","GCPS","175700","9302279",2737,"GLI3","165240","Cilia","16254602","GLI3;GLI3;ENSG00000106571; PHS; ACLS; GCPS; PAPA; PAPB; PAP-A; PAPA1; PPDIV; GLI3FL; GLI3-190"
"Hydrolethalus Syndrome","HLS1","236680","15843405",219844,"HYLS1","610693","Basal Body","32509774","HYLS1;HYLS1;ENSG00000198331; HLS"
"Hydrolethalus Syndrome","HLS2","614120","21552264",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340"
"Joubert Syndrome","JBTS1","213300","19668216, 23386033",56623,"INPP5E","613037","Cilia, Axoneme","19668216, 19668216","INPP5E;INPP5E;ENSG00000148384; CPD4; CORS1; JBTS1; MORMS; PPI5PIV; pharbin"
"Joubert Syndrome","JBTS2","608091","20036350",51259,"TMEM216","613277","Cilia, Basal Body","20512146","TMEM216;TMEM216;ENSG00000187049; HSPC244"
"Joubert Syndrome","JBTS3","608629","15786477",54806,"AHI1","608894","Transition Zone, Axoneme","20592197","AHI1;AHI1;ENSG00000135541; ORF1; AHI-1; JBTS3; dJ71N10.1"
"Joubert Syndrome","JBTS4","609583","15138899",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1"
"Joubert Syndrome","JBTS5","610188","16682970",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Joubert Syndrome","JBTS6","610688","17160906",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Joubert Syndrome","JBTS7","611560","17558409",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134"
"Joubert Syndrome","JBTS8","612291","18674751, 25138100",200894,"ARL13B","608922","Ciliary Membrane","20231383","ARL13B;ARL13B;ENSG00000169379; JBTS8; ARL2L1"
"Joubert Syndrome","JBTS9","612285","22241855",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"Joubert Syndrome","JBTS10","300804","19800048",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10"
"Joubert Syndrome","JBTS11","613820","21258341",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Joubert Syndrome","JBTS12","200990","21633164",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340"
"Joubert Syndrome","JBTS13","614173","21725307",79600,"TCTN1","609863","Transition Zone","21725307","TCTN1;TCTN1;ENSG00000204852; TECT1; JBTS13"
"Joubert Syndrome","JBTS14","614424","22152675",65062,"TMEM237","614423","Transition Zone","22152675","TMEM237;TMEM237;ENSG00000155755; JBTS14; ALS2CR4"
"Joubert Syndrome","JBTS15","614464","22246503",95681,"CEP41","610523","Cilia, Basal Body","22246503","CEP41;CEP41;ENSG00000106477; JBTS15; TSGA14"
"Joubert Syndrome","JBTS16","614465","22282472",51524,"TMEM138","614459","Cilia, Axoneme","22282472","TMEM138;TMEM138;ENSG00000149483; HSPC196"
"Joubert Syndrome","JBTS17","614615","22425360",65250,"CPLANE1","614571","Cilia, Basal Body","27158779","CPLANE1;CPLANE1;ENSG00000197603; Hug; OFD6; JBTS17; C5orf42"
"Joubert Syndrome","JBTS18","614815","22883145",26123,"TCTN3","613847","Transition Zone","21725307","TCTN3;TCTN3;ENSG00000119977; OFD4; TECT3; JBTS18; C10orf61"
"Joubert Syndrome","JBTS19","614844","22863007",23090,"ZNF423","604557","Nucleoplasm","25613900","ZNF423;ZNF423;ENSG00000102935; OAZ; Roaz; hOAZ; Ebfaz; JBTS19; NPHP14; ZFP423; Zfp104"
"Joubert Syndrome","JBTS20","614970","23012439",79583,"TMEM231","614949","Basal Body, Transition Zone","22179047","TMEM231;TMEM231;ENSG00000205084; MKS11; JBTS20; ALYE870; PRO1886"
"Joubert Syndrome","JBTS21","615636","24360807",79848,"CSPP1","611654","Axoneme, Basal Body","20519441","CSPP1;CSPP1;ENSG00000104218; CSPP; CSPP-L; JBTS21"
"Joubert Syndrome","JBTS22","615665","24166846, 30423442",5147,"PDE6D","602676","Basal Body","24166846","PDE6D;PDE6D;ENSG00000156973; PDED; JBTS22"
"Joubert Syndrome","JBTS23","616490","26096313",9786,"KIAA0586","610178","Basal Body","26386247","KIAA0586;KIAA0586;ENSG00000100578; JBTS23; SRTD14; Talpid3"
"Joubert Syndrome","JBTS24","616654","25118024",79867,"TCTN2","613846","Transition Zone","21725307","TCTN2;TCTN2;ENSG00000168778; MKS8; TECT2; JBTS24; C12orf38"
"Joubert Syndrome","JBTS25","616781","26477546",9731,"CEP104","616690","Cilia","23970417","CEP104;CEP104;ENSG00000116198; GlyBP; ROC22; JBTS25; CFAP256; KIAA0562"
"Joubert Syndrome","JBTS26","616784","26714646",23247,"KATNIP","616650","Basal Body","26714646","KATNIP;KATNIP;ENSG00000047578; JBTS26; KIAA0556"
"Joubert Syndrome","JBTS27","617120","24886560",27077,"B9D1","614144","Transition Zone","18337471","B9D1;B9D1;ENSG00000108641; B9; MKS9; EPPB9; MKSR1; JBTS27; MKSR-1"
"Joubert Syndrome","JBTS28","617121","24886560",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28"
"Joubert Syndrome","JBTS29","617562","26595381",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268"
"Joubert Syndrome","JBTS30","617622","28625504",80210,"ARMC9","617612","Cilia, Basal Body","28625504, 29459677","ARMC9;ARMC9;ENSG00000135931; ARM; NS21; JBTS30; KU-MEL-1"
"Joubert Syndrome","JBTS31","617761","27208211",153241,"CEP120","613446","Basal Body","20956381","CEP120;CEP120;ENSG00000168944; JBTS31; SRTD13; CCDC100"
"Joubert Syndrome","JBTS32","617757","10.1016/j.ajhg.2017.08.017",51684,"SUFU","607035","Cilia","16254602","SUFU;SUFU;ENSG00000107882; SUFUH; JBTS32; SUFUXL; PRO1280"
"Joubert Syndrome","JBTS33","617767","29695797",10464,"PIBF1","607532","Centriolar satellite","25613900","PIBF1;PIBF1;ENSG00000083535; PIBF; CEP90; JBTS33; C13orf24"
"Joubert Syndrome","JBTS34","614175","26092869",80776,"B9D2","611951","Transition Zone","18337471","B9D2;B9D2;ENSG00000123810; MKS10; MKSR2; ICIS-1; JBTS34; MKSR-2"
"Joubert Syndrome","JBTS35","618161","30269812",403,"ARL3","604695","Cilia","30952667","ARL3;ARL3;ENSG00000138175; RP83; ARFL3; JBTS35"
"Joubert Syndrome","JBTS36","618763","30905400",317662,"FAM149B1","618413","Cilia","30905400","FAM149B1;FAM149B1;ENSG00000138286; JBTS36; KIAA0974"
"Joubert Syndrome","JBTS37","619185","32453716",23116,"TOGARAM1","617618","Cilia","32453716","TOGARAM1;TOGARAM1;ENSG00000198718; JBTS37; FAM179B; KIAA0423"
"Joubert Syndrome","JBTS38","619476","28220259",9851,"KIAA0753","617112","Centrosome,Cytosol","25613900","KIAA0753;KIAA0753;ENSG00000198920; MNR; OFIP; JBTS38; SRTD21"
"Joubert Syndrome","JBTS39","619562","33791682",219854,"TMEM218","619285","Transition Zone","26982032","TMEM218;TMEM218;ENSG00000150433; JBTS39"
"Joubert Syndrome","JBTS40","619582","33531668, 34539760",80173,"IFT74","608040","Cilia","15024030","IFT74;IFT74;ENSG00000096872; CMG1; BBS22; CCDC2; CMG-1; JBTS40; SPGF58"
"Joubert Syndrome","JBTS","No MIM Number","33131181",25776,"CBY1","607757","Basal Body","25103236","CBY1;CBY1;ENSG00000100211; CBY; arb1; PGEA1; C22orf2; Chibby1; PIGEA14; PIGEA-14; HS508I15A"
"Joubert Syndrome","JBTS","No MIM Number","34205586",54862,"CC2D1A","610055","Nucleoli fibrillar center,Plasma membrane,Cytosol","25613900","CC2D1A;CC2D1A;ENSG00000132024; Lgd2; MRT3; TAPE; Aki-1; FREUD-1; Freud-1/Aki1"
"Joubert Syndrome","JBTS","No MIM Number","27894351",85444,"LRRCC1","617791","Centrosome","25613900","LRRCC1;LRRCC1;ENSG00000133739; SAP2; VFL1; CLERC; CLERK"
"Joubert Syndrome","JBTS","No MIM Number","34750010",56999,"ADAMTS9","605421","Cilia","30814516",NA
"Joubert Syndrome","JBTS","No MIM Number","34423300",284217,"LAMA1","150320","Not reported",NA,"LAMA1;LAMA1;ENSG00000101680; LAMA; PTBHS; S-LAM-alpha"
"Kallmann Syndrome","KLM","308750","29263200",55717,"WDR11","606417","Cilia","29263200","WDR11;WDR11;ENSG00000120008; DR11; HH14; SRI1; BRWD2; WDR15"
"Lowe Oculocerebrorenal Syndrome","OCRL","309000","9430698",4952,"OCRL","300535","Basal Body, Transition Zone","22543976","OCRL;OCRL;ENSG00000122126; LOCR; DENT2; NPHL2; OCRL1; Dent-2; INPP5F; OCRL-1"
"McKusick-Kaufman Syndrome","MKKS","236700","21044901",8195,"MKKS","604896","Basal Body","19396898","MKKS;MKKS;ENSG00000125863; KMS; MKS; BBS6; HMCS"
"Meckel–Gruber Syndrome","MKS1","249000","17935508",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28"
"Meckel–Gruber Syndrome","MKS2","603194","20512146",51259,"TMEM216","613277","Basal Body","20512146","TMEM216;TMEM216;ENSG00000187049; HSPC244"
"Meckel–Gruber Syndrome","MKS3","607361","12384791, 16415887",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Meckel–Gruber Syndrome","MKS4","611134","17564974, 17705300",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Meckel–Gruber Syndrome","MKS5","611561","17558409",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134"
"Meckel–Gruber Syndrome","MKS6","612284","18513680",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"Meckel–Gruber Syndrome","MKS7","267010","18371931",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31"
"Meckel–Gruber Syndrome","MKS8","613885","21462283",79867,"TCTN2","613846","Transition Zone","21725307","TCTN2;TCTN2;ENSG00000168778; MKS8; TECT2; JBTS24; C12orf38"
"Meckel–Gruber Syndrome","MKS9","614209","21493627",27077,"B9D1","614144","Transition Zone","18337471","B9D1;B9D1;ENSG00000108641; B9; MKS9; EPPB9; MKSR1; JBTS27; MKSR-1"
"Meckel–Gruber Syndrome","MKS10","614175","21763481",80776,"B9D2","611951","Transition Zone","18337471","B9D2;B9D2;ENSG00000123810; MKS10; MKSR2; ICIS-1; JBTS34; MKSR-2"
"Meckel–Gruber Syndrome","MKS11","615397","23349226",79583,"TMEM231","614949","Basal Body, Transition Zone","22179047","TMEM231;TMEM231;ENSG00000205084; MKS11; JBTS20; ALYE870; PRO1886"
"Meckel–Gruber Syndrome","MKS12","616258","24128419",9928,"KIF14","611279","Axoneme","32348467","KIF14;KIF14;ENSG00000118193; MKS12; MCPH20"
"Meckel–Gruber Syndrome","MKS13","617562","26123494",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268"
"Meckel–Gruber Syndrome","MKS","No MIM Number","33791682",219854,"TMEM218","619285","Transition Zone","26982032","TMEM218;TMEM218;ENSG00000150433; JBTS39"
"Meckel–Gruber Syndrome","MKS","No MIM Number","28295209",55165,"CEP55","610000","Plasma membrane,Midbody,Centriolar satellite","25613900","CEP55;CEP55;ENSG00000138180; CT111; MARCH; URCC6; C10orf3"
